,name,artist,cluster
5057,Eyes on the Prize,Menahan Street Band,10
5058,Ali Baba,Louie Ramirez,2
5059,Evil Ways,Pete Rodriguez/Louie Ramirez,1
5060,The Right To Love You,The Mighty Hannibal,7
5061,Bees,Caribou,10
5062,The Last Time,Andrew Oldham Orchestra,8
5063,Crabbuckit,K-OS,3
5064,The Rain,K-OS,7
5065,Walking On Fire - Radio Edit,Rilan & The Bombardiers,1
5066,Move on Up - Single Edit,Curtis Mayfield,1
5067,Sunday Morning,Amanaz,10
5068,Khala My Friend,Amanaz,4
5069,Easy Street,Amanaz,4
5070,Something Special,Eric Clapton,2
5071,I Love You,J.C. Akins,7
5072,California Soul,Marvin Gaye,8
5073,Pay Day,Mississippi John Hurt,5
5074,Hop Joint,Mississippi John Hurt,5
5075,He Made a Woman out of Me,Bobbie Gentry,8
5076,Saved,Beady Belle,6
5077,Lift My Burdens,Naomi Shelton & the Gospel Queens,2
5078,Old Number Seven,The Devil Makes Three,8
5079,Life's a Gas - 2003 Remaster,T. Rex,6
5080,Sweet Sixteen,Junior Wells,6
5081,Synthetic World,Swamp Dogg,6
5082,Will The Circle Be Unbroken,The Staple Singers,5
5083,Danger,Betty Everett,8
5084,Sweet Dan,Betty Everett,6
5085,Let's Find Each Other Tonight,Tweedy,1
5086,Little Girl in the Cabin,P.F. Sloan,2
5087,Hard Working Woman,Carey Bell,5
5088,Wind Wave,America,2
5089,Louie Louie,Richard Berry & The Pharaohs,6
5090,Have Love Will Travel,Richard Berry & The Pharaohs,1
5091,Susan Jane,Eugene McDaniels,2
5092,I'll Never Get Out of this World Alive,C.W. Stoneking,2
5093,In New Orleans,C.W. Stoneking,4
5094,Where Did My Baby Go,Howard Tate,1
5095,I'd Rather Go Blind,The Frightnrs,8
5096,"Let Me Go Home, Whiskey",Snooks Eaglin,7
5097,No Woman,Whitney,2
5098,I Used to Drink,The Bonfire Band,8
5099,Cherrystones,Eugene McDaniels,9
5100,People Say,Seramic,7
5101,Jungle Lullaby,C.W. Stoneking,9
5102,Untouchable,Jacob Bellens,7
5103,Get out of My Life Woman,Lee Dorsey,7
5104,Just The Smile - Remastered 2011,Rory Gallagher,5
5105,More than Material (feat. Aloe Blacc),Roseaux,5
5106,Sweet Sugar You,Richard Berry & The Pharaohs,2
5107,"Easin' In - From ""Hell Up In Harlem"" Soundtrack",Edwin Starr,6
5108,What A Man,Linda Lyndell,8
5109,Lovelight,Lewis Taylor,6
5110,Little Else,How To Cure Dyslexia,5
5111,Nobody Loves You Like Me,Etta James,2
5112,There's Nothing I Can Do About It,Mike And The Censations,7
5113,Jerome,Jim Sullivan,4
5114,Plain As Your Eyes Can See,Jim Sullivan,6
5115,Highways,Jim Sullivan,4
5116,U.F.O.,Jim Sullivan,1
5117,Take Out Some Insurance,Jimmy Reed,2
5118,What I'm Feelin' (feat. The Hamiltones),Anthony Hamilton,4
5119,Inner City Blues (Make Me Wanna Holler) - Mono Single Version,Marvin Gaye,2
5120,Send Her to Me,Wayne Chance,7
5121,Work,Charlotte Day Wilson,7
5122,Soul Sista,Bilal,2
5123,Paint or Pollen,Blind Pilot,2
5124,California Shake,Margo Guryan,4
5125,1979,Freedom Fry,5
5126,La culebra,AfroCubism,2
5127,Three Cool Cats,The Coasters,2
5128,Shoppin’ for Clothes,The Coasters,5
5129,Summertime,The Zombies,7
5130,Oh Lori,Alessi Brothers,5
5131,Seabird,Alessi Brothers,6
5132,Better Days,The Meltdown,2
5133,I'm Bad,Bo Diddley,7
5134,Where Would You Be,Yaw,7
5135,Meu Barquinho,Janjão,2
5136,Sit Down,Otis Rush,2
5137,Searchin',The Coasters,2
5138,Smokey Joe's Cafe,The Coasters,2
5139,Young Blood,The Coasters,3
5140,Collapsible Plans (Sugar),Tom Freund,2
5141,Right Thing,Rosie Lowe,4
5142,Cruel Intentions,JMSN,7
5143,Peacetime Resistance,Kings of Convenience,5
5144,Stun Me,Liam Bailey,4
5145,Long and Winding Road,Dennis Brown,8
5146,Younger Days,The Fatal Flowers,4
5147,"Bluebell, Cockleshell, 123",King Creosote,8
5148,Can We Really Party Today?,Jonathan Wilson,4
5149,Time and Again,Charlie Rich,7
5150,Marrakesh Express,"Crosby, Stills & Nash",6
5151,Sorrow,The McCoys,2
5152,Only Time - Live Acoustic,Alibis,4
5153,Me And My Lonely Room,Marvin Gaye,9
5154,Keep Cool,Howard Tate,2
5155,Cushy Sickness,LPG,7
5156,Say Boss Man - Undubbed Alternate Version,Bo Diddley,2
5157,Someday,G. C. Joseph,4
5158,Midnight Call,G. C. Joseph,5
5159,In Between,G. C. Joseph,4
5160,Turnin' Me Up,BJ The Chicago Kid,1
5161,Run To The Sun,N.E.R.D,1
5162,I Think It's Going To Rain Today,Joe Cocker,5
5163,She Came In Through The Bathroom Window,Joe Cocker,2
5164,The Joker,Steve Miller Band,2
5165,Treetop Flyer - Demo,Stephen Stills,5
5166,Lay Down,Lail Arad,4
5167,Live Here With You,Dusty Springfield,5
5168,After All (I Live My Life),Frankie Miller,5
5169,What Goes Around Comes Around - 2012 Remaster/Explicit,Lenny Kravitz,2
5170,Mellow Yellow,Donovan,2
5171,Call The Doctor,J.J. Cale,7
5172,Those Dancing Days Are Gone,Carla Bruni,3
5173,Paulette,Balla Et Ses Balladins,0
5174,Gotta Cheer Up,Cotton Jones,1
5175,"Part One - Hey, No Pressure",Ray LaMontagne,8
5176,Slip Away,Don Bryant,2
5177,High On You Mama,Steve Miller Band,5
5178,Journey From Eden,Steve Miller Band,5
5179,Love Is No Big Truth,Kings of Convenience,10
5180,The Spinning Wheel,Cotton Jones,7
5181,Killing Me Softly With His Song,Fugees,9
5182,"We Meet, We Part, We Remember",The Holmes Brothers,6
5183,Concrete Jungle,The Holmes Brothers,7
5184,Love the One You're With,Stephen Stills,4
5185,Change Partners,Stephen Stills,7
5186,Singin' Call,Stephen Stills,5
5187,Easy,Aaron Taylor,6
5188,Papa Ain't Salty,T-Bone Walker,2
5189,Sooth Lady Wine,Matt Corby,4
5190,Can't Find My Way Home,Ellen McIlwaine,5
5191,Highway To Heaven,The Dramatics,2
5192,I Don't Know,Nick Hakim,5
5193,White Moth,Xavier Rudd,2
5194,Walk A Mile In My Shoes,Willie Hightower,9
5195,Back Road Into Town,Willie Hightower,9
5196,If I Had a Hammer,Willie Hightower,9
5197,Nobody But You,Willie Hightower,2
5198,Time Has Brought About A Change,Willie Hightower,7
5199,It's Too Late,Willie Hightower,7
5200,Marjorine - Single Version,Joe Cocker,2
5201,Work It Out,Hannah Williams,7
5202,Black Man In A White World,Michael Kiwanuka,1
5203,Love Wars,Womack & Womack,6
5204,Breezy (feat. Zoe Penina),Scooter Island,9
5205,Young You,Kakkmaddafakka,1
5206,BRNT (feat. The EMEFE Horns),Magic City Hippies,1
5207,Rock Bottom,Jack and the Weatherman,2
5208,Brother,Jack and the Weatherman,5
5209,Captured,Jack and the Weatherman,2
5210,Written,Jack and the Weatherman,4
5211,Sweet Sunshine,Douwe Bob,1
5212,Look Closer (Can't You See the Signs?),Saun & Starr,1
5213,There Is An End,The Greenhornes,1
5214,Trippin,Rilan & The Bombardiers,6
5215,Lesson Learnt,Aaron Taylor,8
5216,Barcelona,George Ezra,4
5217,If I Gave you My Love,Myron & E,4
5218,Let's Go Everywhere,"Medeski, Martin & Wood",8
5219,Don't Ask Me Questions,Graham Parker & The Rumour,4
5220,Moses,Elizabeth Fraser,10
5221,Please Come Out,Alexis Harte,6
5222,Mad About The Boy,Dinah Washington,7
5223,Love No Limit (For Lisa),Ernie Halter,2
5224,Seen It All Before,Amos Lee,5
5225,Rusty,Hein Cooper,6
5226,Promises,Jay Prince,3
5227,Apron Strings,Beady Belle,6
5228,Anti Love Song,Betty Davis,9
5229,Can't Find My Way Home,Blind Faith,5
5230,Green & Gold - Solo,Lianne La Havas,2
5231,Hi-De-Ho,"Blood, Sweat & Tears",5
5232,Gracefully,Vintage Trouble,7
5233,Have A Little Mercy,Jean Wells,8
5234,I Love You More Than You'll Ever Know,"Blood, Sweat & Tears",7
5235,All I Could Do Is Cry,Etta James,7
5236,Move On,Pete Josef,2
5237,A Man Needs a Woman,James Carr,7
5238,Where Will You Be,Yaw,7
5239,Go on Fool,Marion Black,7
5240,Soul Heaven,E. Rodney Jones,10
5241,Save My World,Almo,2
5242,Scratch My Back,The Fabulous Thunderbirds,6
5243,Fallin' Rain,Karl Blau,0
5244,Just Dropped In (To See What Condition My Condition Was In),Kenny Rogers & The First Edition,4
5245,Compared to What,Roberta Flack,5
5246,Black Coffee in Bed,Ernie Halter,5
5247,Get Your Enjoys,Eunice Davis,2
5248,Need to Belong,Jerry Butler,9
5249,Alright,Jordan Rakei,7
5250,Guru Child Money Child,Tatum Rush,6
5251,Skunkfunk,Guts,4
5252,Hurry Along,Segilola,3
5253,Union,Her,2
5254,How Could I Help But Love You?,Neville,4
5255,Hey Jude,Wilson Pickett,4
5256,They Say I'm Doing Just Fine,Michael Kiwanuka,7
5257,Home Again,Michael Kiwanuka,5
5258,Wooden Heart,Hortense Ellis,6
5259,Beverly,Allan Rayman,3
5260,When My Love Comes Down,Ruby Johnson,7
5261,Simple Girl,JR JR,4
5262,I Want You Back,Jesse Daniel Smith,7
5263,Let Her Go,Jesse Daniel Smith,4
5264,Movin' On,Josh Rouse & The Long Vacations,2
5265,Just Want to Thank You,Louis Baker,2
5266,Anjali Reverse (Pharaohs Remix),BAR,10
5267,Lake Superior,The Arcs,1
5268,Dedicated,Mavis Staples,5
5269,A Change Is Gonna Come - Acoustic Version,Maverick Sabre,7
5270,Look at That Pretty Lady,Caleb Hawley,1
5271,Cruisin',Smokey Robinson,8
5272,Heart Don't Stand a Chance,Anderson .Paak,4
5273,The Man Who Sold the World - 2015 Remaster,David Bowie,5
5274,Every Night - Remastered 2011,Paul McCartney,2
5275,Maybe I’m Amazed - Remastered 2011,Paul McCartney,9
5276,Somewhere Inbetween Stansted and London,Mo'Jones,2
5277,Girls Can't Do What the Guys Do,Betty Wright,8
5278,Can't Get Enough,Mo'Jones,6
5279,Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams,6
5280,Never Change,Mahalia,1
5281,Close to My Fire,Slackwax,4
5282,Chickasaw County Child,Bobbie Gentry,2
5283,Lost Without U,Marcus Miller,8
5284,I Am The Changer,Cotton Jones,2
5285,It's Too Late,Wilson Pickett,7
5286,Mood,Porches,7
5287,Can't Stop Loving You,Fryars,7
5288,Primrose Green,Ryley Walker,4
5289,The Quiet,Chelou,5
5290,A Retelling,Kindness,5
5291,Saleen,Republik,10
5292,Wouldn't Change a Thing,Jackson Breit,6
5293,She Can't Tell,MOTHXR,9
5294,When Tomorrow Comes,Anna Ternheim,5
5295,Fever,Betty Everett,5
5296,Soft Times,Matt Duncan,6
5297,It's Me,Adrian Younge,4
5298,You'll Lose A Good Thing,Barbara Lynn,7
5299,Mockingbird,Inez & Charlie Foxx,6
5300,Pushing On,Freddie Cruger,6
5301,Only Wanna Be with You - Unplugged,Samm Henshaw,7
5302,Wild Is the Wind - 1999 Remaster,David Bowie,4
5303,But I Do,Poldoore,1
5304,Joyride,Giovanca,6
5305,Bandolier - Acoustic Version,Pale Honey,6
5306,Every Little Bit Hurts,The Spencer Davis Group,7
5307,Pretty Blue Eyes,Eric Clapton,10
5308,Your Love Will Blow Me Away When My Heart Aches,Son Little,8
5309,Cross My Heart,Son Little,2
5310,I Stand Accused,Al Green,7
5311,Sure Thing,St Germain,10
5312,There's an End,Holly Golightly,10
5313,Who Will the Next Fool Be,Dee Dee Warwick,7
5314,A Girl Who'll Satisfy Her Man,Dee Dee Warwick,7
5315,I Ain't Got to Love Nobody Else,Dee Dee Warwick,5
5316,Rose Marie,Leyla McCalla,2
5317,I Forgot To Be Your Lover,William Bell,8
5318,Mama He Treats Your Daughter Mean,Ruth Brown,2
5319,Kiss the Sky,Shawn Lee's Ping Pong Orchestra,10
5320,Down In Mississippi,Mavis Staples,6
5321,Come See About Me - Stereo Version,The Supremes,2
5322,Wild Wood,Paul Weller,5
5323,Woman To Woman,Shirley Brown,9
5324,Till My Back Ain't Got No Bone,William Bell,8
5325,Why iii Love The Moon.,Phony Ppl,2
5326,Pouring Water on a Drowning Man,James Carr,1
5327,I Don't Want to Be Hurt Anymore,James Carr,7
5328,These Ain't Raindrops,James Carr,7
5329,The Dark End of the Street,James Carr,2
5330,You've Got My Mind Messed Up,James Carr,9
5331,Stay in My Corner,The Arcs,8
5332,"1,2,3",Bart Oostindie,2
5333,Celebrate,Anderson .Paak,9
5334,Nanotechnologie (feat. Winston McAnuff),Zoufris Maracas,2
5335,Won't Leave,Katerine Duska,6
5336,Right On Time,Tedeschi Trucks Band,6
5337,What It's Like,Everlast,4
5338,Shelter,Jr Thomas & The Volcanos,1
5339,More Than Memories,Jr Thomas & The Volcanos,6
5340,Cleaned Out,The Tibbs,7
5341,Joints & Jam,Black Eyed Peas,6
5342,Half a Man,Jesse Daniel Smith,2
5343,You Are Made of Stars,Jesse Daniel Smith,5
5344,Let Me Down Easy,Max Frost,6
5345,Young,The Arcs,10
5346,Zadie bobo,Ernesto Djédjé,1
5347,Am I Wrong,Anderson .Paak,1
5348,Smile (feat. Alex Gopher & Asher Roth) - Vocal Mix,Étienne de Crécy,1
5349,Mrs Vandebilt - Remastered 2010,Paul McCartney,1
5350,Lonely Boy (feat. Birdy Nixon),Taggy Matcher,6
5351,Missing Me,Lack Of Afro,1
5352,Remember the Rain,Kadhja Bonet,2
5353,All over You,LEISURE,6
5354,Ferus Gallery,Allah-Las,10
5355,So Lost - Rebel Kleff Remix,Ady Suleiman,3
5356,After Hours,Babyshambles,4
5357,B-A-B-Y,Carla Thomas,2
5358,Get Back - Remastered 2009,The Beatles,9
5359,Sorrow - 2015 Remaster,David Bowie,2
5360,I Can Only Give You What I Have,1ST VOWS,5
5361,No Delay - Bullitt,The Green Arrows,8
5362,Ali Baba,John Holt,6
5363,Say,C Duncan,10
5364,On & On,Erykah Badu,4
5365,Appletree,Erykah Badu,6
5366,Next Lifetime,Erykah Badu,0
5367,The Moon Is Made of Gold,Rickie Lee Jones,5
5368,Blackbird - Remastered,The Beatles,5
5369,Every Little Thing - Remastered,The Beatles,2
5370,The Harder They Come - Single Version,Jimmy Cliff,6
5371,Cel U Lar Device,Erykah Badu,0
5372,Fat Boy,Billy Stewart,2
5373,Shakin' All Over,Johnny Kidd & The Pirates,6
5374,Patty Cake,The Artistics,2
5375,Wonderin',Little Richard,2
5376,Maybe I'm Right,Little Richard,7
5377,Do You Remember,Jarryd James,4
5378,Before The Night Is Over,Joe Simon,5
5379,Magnolia,Lee Fields & The Expressions,2
5380,Someone,Luca Sapio,7
5381,Forever Mine,Andra Day,1
5382,Fire and Rain,Al Jarreau,5
5383,Merseybeat,GOVS,1
5384,And I Love Her - Remastered,The Beatles,2
5385,Jordan,Rival Sons,7
5386,The Seed,Cody Chesnutt,1
5387,You've Got To Hide Your Love Away - Remastered,The Beatles,7
5388,Yesterday - Remastered,The Beatles,5
5389,Spreadin' Honey - Remastered Mono Version,Charles Wright & The Watts 103rd Street Rhythm Band,6
5390,Girl I Need You,The Artistics,8
5391,Jet Plane,Sonya Spence,4
5392,It Hurts To Be Alone,Sonya Spence,4
5393,I Love You So,Sonya Spence,7
5394,Done,Frazey Ford,6
5395,The No.4,Khruangbin,10
5396,Two Of Us - Remastered,The Beatles,1
5397,Across The Universe - Remastered,The Beatles,8
5398,Let It Be - Remastered,The Beatles,4
5399,For You Blue - Remastered,The Beatles,6
5400,Like a Ship,Pastor T.L. Barrett and the Youth for Christ Choir,8
5401,Voodoo Woman - Live,Susan Tedeschi,9
5402,Eleanor Rigby,Bobbie Gentry,5
5403,Calling Out To You,Tedeschi Trucks Band,5
5404,Wish I Didn't Miss You,Angie Stone,1
5405,Bag Lady,Erykah Badu,4
5406,Ex-Factor,Ms. Lauryn Hill,9
5407,La femme d'argent,Air,0
5408,"One Scotch, One Bourbon, One Beer",Snooks Eaglin,2
5409,Yègellé Tezeta,Mulatu Astatke,10
5410,New Frontier,Donald Fagen,0
5411,One More Cup of Coffee,Frazey Ford,9
5412,"Papa, Won't You Let Me Go To Town With You",Bobbie Gentry,7
5413,Do Something,Macy Gray,8
5414,All We Were,Billy Momo,6
5415,Odoo Be Ba,Kwashibu Area Band,1
5416,Somebody To Love,Valerie June,7
5417,Eleanor Rigby - Remastered,The Beatles,2
5418,I'm Only Sleeping - Remastered,The Beatles,4
5419,"Here, There And Everywhere - Remastered",The Beatles,5
5420,For No One - Remastered,The Beatles,2
5421,Got To Get You Into My Life - Remastered,The Beatles,8
5422,Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,7
5423,Michelle - Remastered,The Beatles,2
5424,The System,Silk Rhodes,6
5425,Don't You Know (feat. Van Morrison),Them,9
5426,Hey Girl (feat. Van Morrison),Them,2
5427,Baby What You Want Me To Do,Fontella Bass,6
5428,Mtshakazi,Miriam Makeba,2
5429,Do The Honky Tonk,Oscar Perry,2
5430,Till There Was You - Remastered,The Beatles,2
5431,You Really Got A Hold On Me - Remastered,The Beatles,2
5432,Waltz #2 (XO),Elliott Smith,7
5433,Beacon,Matt Duncan,4
5434,We Almost Lost Detroit,Gil Scott-Heron & Brian Jackson,5
5435,Rocksteady,Remy Shand,2
5436,Temporary Love,The Brinks,4
5437,Sarara,Flora Purim,8
5438,Try Jah Love,Third World,0
5439,Show Me Love / A Little Bit Of Luck,Kimberly Anne,2
5440,Drive My Car - Remastered,The Beatles,1
5441,Ticket To Ride - Remastered,The Beatles,1
5442,Girl - Remastered,The Beatles,2
5443,The Word - Remastered,The Beatles,1
5444,You Won't See Me - Remastered,The Beatles,4
5445,And Your Bird Can Sing - Remastered,The Beatles,1
5446,Them Changes,Thundercat,2
5447,I Made You / You Made Me,Owiny Sigoma Band,10
5448,Candied Daylight,Jennah Bell,4
5449,Love the Way,Andrew Ashong,2
5450,"Um, Um, Um, Um, Um, Um",Major Lance,6
5451,Jolie,The California Honeydrops,9
5452,Come,Jain,1
5453,Me And My Baby,Don Cavalli,2
5454,Ready or Not Here I Come (Can't Hide from Love),The Delfonics,1
5455,Too Easy,The Wiseguys,0
5456,Knock on Wood,Eddie Floyd,6
5457,I Warned You Baby feat. Spanky Wilson,The Bahama Soul Club,10
5458,The Beat Goes On,Sonny & Cher,4
5459,Paris Summer,Nancy Sinatra,8
5460,I'm Gonna Leave You,Melanie De Biasio,8
5461,Me and Mrs. Jones,Billy Paul,9
5462,Only For You,Heartless Bastards,1
5463,The Easiest Way To Fall,Freda Payne,1
5464,Feels Like Summer,Al Green,2
5465,Georgia Boy,Al Green,0
5466,It Must Be Love - 2006 Remastered Version,Labi Siffre,5
5467,Soothe Me,Sam & Dave,2
5468,Roll'in Up the Rhine,Jim Keaveny,2
5469,Love Me,Marbert Rocel,5
5470,Stay Awhile,She & Him,2
5471,Good Day Bad,Meshell Ndegeocello,5
5472,I'm Gonna Try,Carol Fran,8
5473,"Crying, Laughing, Loving, Lying",Labi Siffre,5
5474,Watch Me,Labi Siffre,8
5475,Le Vent Nous Portera,Noir Désir,2
5476,Opportunity Please Knock,"Oscar Brown, Jr.",5
5477,Dope Vhs Master,Desmond Cheese,10
5478,1612,Vulfpeck,3
5479,Rich Girl,Lake Street Dive,3
5480,Birmingham - 2002 Remaster,Randy Newman,5
5481,You Don't Mess Around With Jim,Jim Croce,2
5482,Stand By Me,Jimmy Ruffin,2
5483,Don't Make Promises,Tim Hardin,2
5484,Green Rocky Road,Tim Hardin,5
5485,Reason To Believe,Tim Hardin,7
5486,If I Were A Carpenter,Tim Hardin,5
5487,Black Sheep Boy,Tim Hardin,5
5488,Get It Up For Love,Ned Doheny,6
5489,I-69,Roman GianArthur,2
5490,Things Have Changed,Curtis Stigers,2
5491,Rush Over,Marcus Miller,4
5492,Don't Lose Your Love,Don Brown,10
5493,Steamroller,Merry Clayton,2
5494,Necessary Evil,Unknown Mortal Orchestra,1
5495,Mo' Better Blues (feat. Terence Blanchard),Branford Marsalis Quartet,5
5496,Everything I Do Gohn Be Funky (From Now On),Lee Dorsey,6
5497,Operator (That's Not The Way It Feels),Jim Croce,2
5498,Hey Tomorrow,Jim Croce,2
5499,Who Is He and What Is He to You,Meshell Ndegeocello,6
5500,Make Me Wanna Holler,Meshell Ndegeocello,0
5501,The Beehive State,Randy Newman,2
5502,I Got The... - 2006 Remaster,Labi Siffre,4
5503,No One Would Ever Know,Thomas Dybdahl,7
5504,Simple Song of Freedom,Tim Hardin,8
5505,Humdrum Blues,"Oscar Brown, Jr.",5
5506,Signifyin' Monkey,"Oscar Brown, Jr.",9
5507,Dat Dere,"Oscar Brown, Jr.",2
5508,Cecilia,Thomas Dybdahl,4
5509,Vai (Menina Amanhã de Manhã),Tom Zé,3
5510,Steamroller,James Taylor,5
5511,Smile Meditation,Vulfpeck,10
5512,Fantastic Man,William Onyeabor,0
5513,Freaky Feedback Blues,Benji Hughes,6
5514,"Green & Gold - Live from Spotify, London",Lianne La Havas,9
5515,Why Don't You Do Right,Mark Murphy,8
5516,Your Mind Is on Vacation,Mose Allison,5
5517,Revolution,NOLA,2
5518,The Coffee Cola Song,Francis Bebey,1
5519,Ain't Nothing Changed,Loyle Carner,4
5520,4 Door Maverick,Howe Gelb & A Band Of Gypsies,2
5521,A Sunday Kind Of Love - Single Version,Etta James,5
5522,Spill the Wine,Eric Burdon,6
5523,Feels Like Rain,John Hiatt,2
5524,"Song from Hope St. - Brooklyn, Ny",David Kitt,4
5525,Ain't cool,Olivier St.Louis,7
5526,Route 66,Chuck Berry,2
5527,Somebody Hurt You,Keb' Mo',2
5528,Love Interruption,Jack White,5
5529,Limbo and Grim,Jim Keaveny,2
5530,Release Your Problems,Chet Faker,4
5531,Cadence,St. South,4
5532,Morning Coffee,Jesper Munk,7
5533,Shakespeare & Heartbreak,Jesper Munk,4
5534,Cold Waters,Jesper Munk,5
5535,I'm In The Mood - Single Version,John Lee Hooker,7
5536,Who Wouldn't Love A Man Like That - First Version,Mable John,2
5537,Looking For A Man - Single Version,Mable John,2
5538,Rock Me Baby,Davy Graham,7
5539,Cleo's Mood,Jr. Walker & The All Stars,1
5540,This Bitter Earth,Dinah Washington,5
5541,Six Blade Knife,Dire Straits,6
5542,Don't Let Me Fall,The Relatives,8
5543,Clouds,BØRNS,8
5544,Sunshower,Dr. Buzzard's Original Savannah Band,5
5545,Kick Hit 4 Hit Kix U (Blues For Jimi And Janis),John Lee Hooker,7
5546,I Only Have Eyes for You,The Flamingos,7
5547,Girl (feat. KAYTRANADA) - Radio Edit,The Internet,4
5548,You Look Like Rain,Morphine,5
5549,Pluto,Beatenberg,0
5550,Whiskey And Wimmen',John Lee Hooker,6
5551,Graceland,Allan Rayman,4
5552,Running Out,Vernon Garrett,1
5553,Icarus,Lovebirds,4
5554,So Good at Being in Trouble,Unknown Mortal Orchestra,10
5555,Confessions (feat. Leland Whitty),BADBADNOTGOOD,10
5556,50 Ways To Lose Your Lover,Tok Tok Tok,6
5557,Long Distance Love,Little Feat,2
5558,I Love The Sound Of Breaking Glass,Nick Lowe,10
5559,Where To Start,Lou Doillon,7
5560,Memphis Tennessee,Chuck Berry,2
5561,Give Me Love (Give Me Peace On Earth) - 2009 Mix,George Harrison,4
5562,"Here Comes The Sun - Live From Madison Square Garden, New York, U.S.A, 1971 / 2009 Mix",George Harrison,9
5563,Angry Eyes - Single Version,Loggins & Messina,0
5564,Ghost Ship,Blur,1
5565,The Rub,George and Gwen McCrae,6
5566,My World Is Gone,Otis Taylor,5
5567,Feelin' Lovely,Devonté Hynes,1
5568,"You Don't Love Me (No, No, No) - Extended Mix",Dawn Penn,3
5569,Jailer,J.J. Cale,2
5570,Say Sumthin,Zak Abel,4
5571,Caroline Goodbye,Colin Blunstone,4
5572,Ten Million Slaves,Otis Taylor,4
5573,Hey Joe,Otis Taylor,4
5574,I'm Walking,Perquisite,3
5575,Planet Caravan,Black Sabbath,5
5576,For What It's Worth,Keb' Mo',6
5577,Israelites,Desmond Dekker & The Aces,6
5578,Nautilus,Bob James,1
5579,How Many Times,Elderbrook,4
5580,Same Old Wine,Loggins & Messina,0
5581,Simmerdown,Nostalgia 77,4
5582,Jesus Fever,Kurt Vile,10
5583,Groovin',Willie Mitchell,10
5584,A Lover Was Born,Toussaint,6
5585,How Dare You,St Germain,0
5586,Able Mable - Take 1,Mable John,2
5587,Running Out,Mable John,8
5588,Stay With Me,Roo Panes,5
5589,I'd Think It Over Twice (If I Were You),Sam Fletcher,2
5590,Cupidon,DjeuhDjoah,2
5591,Whistle,Brisa Roché,8
5592,Going Out,Hospitality,6
5593,Who's Got The Bacon?,Howie B.,10
5594,The Gentle Rain - RJD2 Remix,Astrud Gilberto,0
5595,I Get Lifted,George McCrae,2
5596,Wakin on a Pretty Day,Kurt Vile,0
5597,We're Alone,Sam Means,5
5598,My Soul's in Louisiana,Otis Taylor,4
5599,Why Can't We Live Together,Timmy Thomas,10
5600,Workin' Together,Ike & Tina Turner,8
5601,Yeah Yeah,Sam Means,2
5602,Tomorrow's Gonna Be A Brighter Day,Jim Croce,5
5603,Your Good Thing (Is About to End),Mable John,7
5604,Somebody To Love,Grace Slick,9
5605,The Trouble With Us,Marcus Marr,1
5606,Up to Us,Charles Pasi,6
5607,Big Wave,Donavon Frankenreiter,6
5608,Why Did You Do It,Ferry Ultra,1
5609,No Shame,Will And The People,8
5610,Sunshine,Tom Misch,6
5611,Cisco Kid,War,6
5612,Low Rider,War,10
5613,Losing The Will To Survive - Beyond The Wizard Sleeve Reanimation,Findlay Brown,0
5614,Body Was Made,Ezra Furman,1
5615,Better Days,Graham Nash,5
5616,Strange Brew,Cream,2
5617,I Can Give,Dojo Cuts,8
5618,Getaway - Original 1966 Version,Georgie Fame & The Blue Flames,6
5619,"Get On The Right Track, Baby",Georgie Fame & The Blue Flames,2
5620,27 Club,Chløë Black,4
5621,My Heart is Jumping,Bibi Tanga & The Selenites,6
5622,Video,India.Arie,3
5623,Here I Am,Adam Green,2
5624,Truth,Alex Ebert,4
5625,Black Metal,Max Jury,4
5626,The Night,HONNE,4
5627,Stoned,Widowspeak,4
5628,A Horse with No Name,America,2
5629,One,Johnny Cash,4
5630,The Man Comes Around,Johnny Cash,9
5631,Johnny law,William Elliott Whitmore,5
5632,I've Been Waiting for Her,Mac DeMarco,2
5633,Honey Bee,Muddy Waters,7
5634,Talikoba,Terakaft,8
5635,Maybe I'm A Fool,Aretha Franklin,7
5636,I'm In The Mood For Love,Bryan Ferry,9
5637,Lover Come Back To Me,Bryan Ferry,2
5638,Just One Of Those Things,Bryan Ferry,2
5639,Dust Bunnies,Kurt Vile,1
5640,Hard Times,Baby Huey,1
5641,I Hate I Walked Away,Syl Johnson,2
5642,Need Your Love So Bad,Little Willie John,7
5643,Sweet Little Angel,Big Mama Thornton,7
5644,Heart Of Glass,Nouvelle Vague,6
5645,Alexis Korner Introduction - BBC Sessions,Alexis Korner,7
5646,Traveling With The Experience - BBC Sessions,Jimi Hendrix,3
5647,Respect Yourself,The Staple Singers,6
5648,Tripping Out,Curtis Mayfield,1
5649,Mr. Bojangles,Nina Simone,4
5650,Trouble Sleep Yanga Wake Am,Fela Kuti,0
5651,Then You Can Tell Me Goodbye,Bettye Swann,5
5652,Big Mama's Door,Alvin Youngblood Hart,5
5653,"I Can't Write Left-Handed - Live at Carnegie Hall, New York, NY - October 1972",Bill Withers,9
5654,Custer,Johnny Cash,2
5655,Never Can Say Goodbye,Isaac Hayes,5
5656,Going In Circles,Isaac Hayes,7
5657,Medley: Ike's Rap II/Help Me Love,Isaac Hayes,5
5658,I Want You,Bob Dylan,1
5659,Three Is A Magic Number,Bob Dorough,4
5660,Wild Women Don't Have The Blues,Ida Cox,5
